PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
K0A0A0,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A0B1,K0A,45.242635,-75.792165,Nepean,K,35,Rural
K0A0W0,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1A0,K0A,45.179449,-76.126138,Carleton Place,K,35,Rural
K0A1A1,K0A,45.242635,-75.792165,Nepean,K,35,Rural
K0A1A2,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1A9,K0A,45.242635,-75.792165,Nepean,K,35,Rural
K0A1B0,K0A,45.176245,-76.001524,Stittsville,K,35,Rural
K0A1C0,K0A,45.430115,-75.562256,Ottawa,K,35,Rural
K0A1C2,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1E0,K0A,45.423146,-75.115641,Bourget,K,35,Rural
K0A1E2,K0A,45.242635,-75.792165,Nepean,K,35,Rural
K0A1G0,K0A,45.343603,-76.092478,Braeside,K,35,Rural
K0A1H0,K0A,45.398486,-78.083635,Brent,K,35,Rural
K0A1H3,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1H8,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1I8,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1J0,K0A,45.130456,-76.121918,Carleton Place,K,35,Rural
K0A1K0,K0A,45.343377,-75.419587,Carlsbad Springs,K,35,Rural
K0A1K2,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1K8,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1K9,K0A,45.242635,-75.792165,Nepean,K,35,Rural
K0A1L0,K0A,45.280191,-76.023035,Carp,K,35,Rural
K0A1L2,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1M0,K0A,45.309775,-75.088607,Casselman,K,35,Rural
K0A1N0,K0A,45.43872,-75.19569,Clarence,K,35,Rural
K0A1O0,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1O8,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1P0,K0A,45.469706,-76.024305,Clayton,K,35,Rural
K0A1R0,K0A,45.216797,-75.149308,Crysler,K,35,Rural
K0A1R1,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1S0,K0A,45.492448,-75.423451,Cumberland,K,35,Rural
K0A1T0,K0A,45.481083,-76.020517,Clayton,K,35,Rural
K0A1T5,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1U0,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1V0,K0A,45.310265,-75.461523,Edwards,K,35,Rural
K0A1W0,K0A,45.26826166,-75.27784958,Embrun,K,35,Rural
K0A1W1,K0A,45.26735634,-75.30399038,Embrun,K,35,Rural
K0A1W9,K0A,45.242636,-75.792165,Nepean,K,35,Rural
K0A1X0,K0A,45.49332226,-76.22115562,Fitzroy Harbour,K,35,Rural
K0A1Y0,K0A,45.417038,-75.701793,Ottawa,K,35,Rural
K0A1Z0,K0A,45.265047,-75.562491,Greely,K,35,Rural
K0A2A0,K0A,45.43501,-75.26398,Hammond,K,35,Rural
K0A2B0,K0A,45.282524,-75.761526,Ottawa,K,35,Rural
