PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
M1B0A1,M1B,43.686504,-79.279742,Scarborough,M,35,Urban
M1B0A2,M1B,43.816416,-79.2273,Scarborough,M,35,Urban
M1B0B2,M1B,43.8066863,-79.1943534,Scarborough,M,35,Urban
M1B1A1,M1B,43.79772376,-79.22718654,Scarborough,M,35,Urban
M1B1A2,M1B,43.798343,-79.2274645,Scarborough,M,35,Urban
M1B1A3,M1B,43.798252,-79.2261115,Scarborough,M,35,Urban
M1B1A4,M1B,43.79809,-79.226693,Scarborough,M,35,Urban
M1B1A5,M1B,43.798496,-79.224344,Scarborough,M,35,Urban
M1B1A6,M1B,43.798247,-79.224491,Scarborough,M,35,Urban
M1B1A7,M1B,43.798649,-79.224549,Scarborough,M,35,Urban
M1B1A8,M1B,43.800861,-79.226056,Scarborough,M,35,Urban
M1B1A9,M1B,43.800845,-79.22603,Scarborough,M,35,Urban
M1B1B1,M1B,43.79968,-79.224069,Scarborough,M,35,Urban
M1B1B2,M1B,43.799644,-79.221171,Scarborough,M,35,Urban
M1B1B3,M1B,43.799622,-79.221277,Scarborough,M,35,Urban
M1B1B4,M1B,43.800004,-79.220468,Scarborough,M,35,Urban
M1B1B5,M1B,43.801467,-79.220369,Scarborough,M,35,Urban
M1B1B6,M1B,43.802367,-79.21921,Scarborough,M,35,Urban
M1B1B7,M1B,43.800404,-79.224994,Scarborough,M,35,Urban
M1B1B8,M1B,43.80123,-79.2244095,Scarborough,M,35,Urban
M1B1B9,M1B,43.802285,-79.223936,Scarborough,M,35,Urban
M1B1C1,M1B,43.800167,-79.223633,Scarborough,M,35,Urban
M1B1C2,M1B,43.800255,-79.223775,Scarborough,M,35,Urban
M1B1C3,M1B,43.799285,-79.222454,Scarborough,M,35,Urban
M1B1C4,M1B,43.7990665,-79.2223925,Scarborough,M,35,Urban
M1B1C5,M1B,43.799757,-79.220469,Scarborough,M,35,Urban
M1B1C6,M1B,43.799673,-79.220396,Scarborough,M,35,Urban
M1B1C7,M1B,43.801294,-79.220195,Scarborough,M,35,Urban
M1B1C8,M1B,43.802502,-79.21942,Scarborough,M,35,Urban
M1B1C9,M1B,43.803349,-79.219846,Scarborough,M,35,Urban
M1B1E1,M1B,43.803634,-79.220216,Scarborough,M,35,Urban
M1B1E2,M1B,43.803166,-79.219459,Scarborough,M,35,Urban
M1B1E3,M1B,43.8035605,-79.2194875,Scarborough,M,35,Urban
M1B1E4,M1B,43.802772,-79.220502,Scarborough,M,35,Urban
M1B1E5,M1B,43.799704,-79.22411,Scarborough,M,35,Urban
M1B1E6,M1B,43.799698,-79.221483,Scarborough,M,35,Urban
M1B1E7,M1B,43.799766,-79.221508,Scarborough,M,35,Urban
M1B1E8,M1B,43.808028,-79.164145,Scarborough,M,35,Urban
M1B1E9,M1B,43.805667,-79.160072,Scarborough,M,35,Urban
M1B1G1,M1B,43.805973,-79.160573,Scarborough,M,35,Urban
M1B1G2,M1B,43.8027615,-79.1545715,Scarborough,M,35,Urban
M1B1G3,M1B,43.800854,-79.150386,Scarborough,M,35,Urban
M1B1G4,M1B,43.805551,-79.161418,Scarborough,M,35,Urban
M1B1G5,M1B,43.804097,-79.1607785,Scarborough,M,35,Urban
M1B1G6,M1B,43.800117,-79.150629,Scarborough,M,35,Urban
M1B1G7,M1B,43.807977,-79.157525,Toronto,M,35,Urban
M1B1G8,M1B,43.798128,-79.147361,Scarborough,M,35,Urban
M1B1G9,M1B,43.797407,-79.148562,Scarborough,M,35,Urban
M1B1H1,M1B,43.805471,-79.158341,Scarborough,M,35,Urban
M1B1H2,M1B,43.804741,-79.158141,Scarborough,M,35,Urban
M1B1H3,M1B,43.7972935,-79.2278415,Scarborough,M,35,Urban
M1B1H4,M1B,43.803826,-79.1576,Scarborough,M,35,Urban
M1B1H5,M1B,43.795013,-79.224274,Scarborough,M,35,Urban
M1B1H6,M1B,43.7954465,-79.2215865,Scarborough,M,35,Urban
M1B1H7,M1B,43.795883,-79.223592,Scarborough,M,35,Urban
M1B1H8,M1B,43.793798,-79.229235,Scarborough,M,35,Urban
M1B1H9,M1B,43.7939815,-79.2286485,Scarborough,M,35,Urban
M1B1J1,M1B,43.793792,-79.228842,Scarborough,M,35,Urban
M1B1J2,M1B,43.79464719,-79.22374469,Scarborough,M,35,Urban
M1B1J3,M1B,43.79576778,-79.22367358,Scarborough,M,35,Urban
M1B1J4,M1B,43.795927,-79.219835,Scarborough,M,35,Urban
M1B1J5,M1B,43.795442,-79.219563,Scarborough,M,35,Urban
M1B1J6,M1B,43.795441,-79.219565,Scarborough,M,35,Urban
M1B1J7,M1B,43.794726,-79.225208,Scarborough,M,35,Urban
M1B1J8,M1B,43.79523429,-79.22415089,Scarborough,M,35,Urban
M1B1J9,M1B,43.794682,-79.225811,Scarborough,M,35,Urban
M1B1K0,M1B,43.792107,-79.225466,Agincourt,M,35,Urban
M1B1K1,M1B,43.79516943,-79.22643322,Scarborough,M,35,Urban
M1B1K2,M1B,43.80386452,-79.22048656,Scarborough,M,35,Urban
M1B1K3,M1B,43.802049,-79.223764,Scarborough,M,35,Urban
M1B1K4,M1B,43.803012,-79.224115,Scarborough,M,35,Urban
M1B1K5,M1B,43.80442956,-79.22072405,Scarborough,M,35,Urban
M1B1K6,M1B,43.801471,-79.216887,Scarborough,M,35,Urban
M1B1K7,M1B,43.80173,-79.216526,Scarborough,M,35,Urban
M1B1K8,M1B,43.801076,-79.215232,Scarborough,M,35,Urban
M1B1K9,M1B,43.801088,-79.215243,Scarborough,M,35,Urban
M1B1L1,M1B,43.80060615,-79.21466306,Scarborough,M,35,Urban
M1B1L2,M1B,43.8005,-79.213724,Scarborough,M,35,Urban
M1B1L3,M1B,43.800285,-79.21388,Scarborough,M,35,Urban
M1B1L4,M1B,43.79969012,-79.21358917,Scarborough,M,35,Urban
M1B1L5,M1B,43.80023306,-79.21504236,Scarborough,M,35,Urban
M1B1L6,M1B,43.800407,-79.214923,Scarborough,M,35,Urban
M1B1L7,M1B,43.801676,-79.215956,Scarborough,M,35,Urban
M1B1L8,M1B,43.802489,-79.2140135,Scarborough,M,35,Urban
M1B1L9,M1B,43.801701,-79.214655,Scarborough,M,35,Urban
M1B1M1,M1B,43.801271,-79.215242,Scarborough,M,35,Urban
M1B1M2,M1B,43.80193,-79.217316,Scarborough,M,35,Urban
M1B1M3,M1B,43.8018675,-79.2170635,Scarborough,M,35,Urban
M1B1M4,M1B,43.80365515,-79.2123042,Scarborough,M,35,Urban
M1B1M5,M1B,43.79203869,-79.23007426,Scarborough,M,35,Urban
M1B1M6,M1B,43.791894,-79.231989,Scarborough,M,35,Urban
M1B1M7,M1B,43.79191481,-79.23235083,Scarborough,M,35,Urban
M1B1M8,M1B,43.793134,-79.225182,Scarborough,M,35,Urban
M1B1M9,M1B,43.80576,-79.2114255,Scarborough,M,35,Urban
M1B1N1,M1B,43.794781,-79.225463,Scarborough,M,35,Urban
M1B1N2,M1B,43.793274,-79.229328,Scarborough,M,35,Urban
M1B1N3,M1B,43.801418,-79.2104385,Scarborough,M,35,Urban
M1B1N4,M1B,43.801117,-79.210678,Scarborough,M,35,Urban
M1B1N5,M1B,43.802407,-79.210406,Scarborough,M,35,Urban
M1B1N6,M1B,43.803142,-79.209857,Scarborough,M,35,Urban
M1B1N7,M1B,43.8034465,-79.210625,Scarborough,M,35,Urban
M1B1N8,M1B,43.80247,-79.214239,Scarborough,M,35,Urban
M1B1N9,M1B,43.80255192,-79.21161916,Scarborough,M,35,Urban
M1B1P1,M1B,43.802617,-79.2127835,Scarborough,M,35,Urban
M1B1P2,M1B,43.801999,-79.211757,Scarborough,M,35,Urban
M1B1P3,M1B,43.80083,-79.212258,Scarborough,M,35,Urban
M1B1P4,M1B,43.80301641,-79.21399081,Scarborough,M,35,Urban
M1B1P5,M1B,43.796741,-79.23554,Scarborough,M,35,Urban
M1B1P6,M1B,43.797043,-79.234299,Scarborough,M,35,Urban
M1B1P7,M1B,43.797428,-79.232706,Scarborough,M,35,Urban
M1B1P8,M1B,43.799509,-79.2306085,Scarborough,M,35,Urban
M1B1P9,M1B,43.79874009,-79.2308619,Scarborough,M,35,Urban
M1B1R1,M1B,43.800948,-79.2285365,Scarborough,M,35,Urban
M1B1R2,M1B,43.801331,-79.226861,Scarborough,M,35,Urban
M1B1R3,M1B,43.797128,-79.2329,Scarborough,M,35,Urban
M1B1R4,M1B,43.79696114,-79.23290004,Scarborough,M,35,Urban
M1B1R5,M1B,43.79559021,-79.23349346,Scarborough,M,35,Urban
M1B1R6,M1B,43.797144,-79.234547,Scarborough,M,35,Urban
M1B1R7,M1B,43.7985785,-79.235363,Scarborough,M,35,Urban
M1B1R8,M1B,43.798427,-79.230155,Scarborough,M,35,Urban
M1B1R9,M1B,43.799257,-79.2287,Scarborough,M,35,Urban
M1B1S1,M1B,43.800112,-79.228059,Scarborough,M,35,Urban
M1B1S2,M1B,43.799057,-79.229173,Scarborough,M,35,Urban
M1B1S3,M1B,43.800215,-79.228562,Scarborough,M,35,Urban
M1B1S4,M1B,43.801703,-79.226579,Scarborough,M,35,Urban
M1B1S5,M1B,43.798552,-79.23036,Scarborough,M,35,Urban
M1B1S6,M1B,43.80244,-79.210667,Scarborough,M,35,Urban
M1B1S7,M1B,43.798859,-79.236348,Scarborough,M,35,Urban
M1B1S8,M1B,43.798837,-79.236338,Scarborough,M,35,Urban
M1B1S9,M1B,43.8013345,-79.228085,Scarborough,M,35,Urban
M1B1T1,M1B,43.81395,-79.238528,Scarborough,M,35,Urban
M1B1T2,M1B,43.799664,-79.236826,Scarborough,M,35,Urban
M1B1T3,M1B,43.800032,-79.236399,Scarborough,M,35,Urban
M1B1T4,M1B,43.813837,-79.228387,Scarborough,M,35,Urban
M1B1T5,M1B,43.8137,-79.230591,Scarborough,M,35,Urban
M1B1T6,M1B,43.813701,-79.230591,Scarborough,M,35,Urban
M1B1T7,M1B,43.814312,-79.233718,Scarborough,M,35,Urban
M1B1T8,M1B,43.814234,-79.234076,Scarborough,M,35,Urban
M1B1T9,M1B,43.812029,-79.233474,Scarborough,M,35,Urban
M1B1V1,M1B,43.813024,-79.234303,Scarborough,M,35,Urban
M1B1V2,M1B,43.813811,-79.236087,Scarborough,M,35,Urban
M1B1V3,M1B,43.81105083,-79.23424361,Scarborough,M,35,Urban
M1B1V4,M1B,43.810791,-79.235343,Scarborough,M,35,Urban
M1B1V5,M1B,43.808852,-79.233142,Scarborough,M,35,Urban
M1B1V6,M1B,43.813531,-79.231588,Scarborough,M,35,Urban
M1B1V7,M1B,43.813556,-79.231598,Scarborough,M,35,Urban
M1B1V8,M1B,43.813369,-79.230461,Scarborough,M,35,Urban
M1B1V9,M1B,43.812897,-79.230278,Scarborough,M,35,Urban
M1B1W1,M1B,43.811197,-79.232543,Scarborough,M,35,Urban
M1B1W2,M1B,43.81163836,-79.23082564,Scarborough,M,35,Urban
M1B1W3,M1B,43.811518,-79.235911,Scarborough,M,35,Urban
M1B1W4,M1B,43.808599,-79.231395,Scarborough,M,35,Urban
M1B1W5,M1B,43.808979,-79.2299575,Scarborough,M,35,Urban
M1B1W6,M1B,43.809506,-79.23233,Scarborough,M,35,Urban
M1B1W7,M1B,43.808733,-79.232293,Scarborough,M,35,Urban
M1B1W8,M1B,43.808718,-79.231232,Scarborough,M,35,Urban
M1B1W9,M1B,43.809837,-79.233337,Scarborough,M,35,Urban
M1B1X1,M1B,43.81032668,-79.23354904,Scarborough,M,35,Urban
