PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
P0A0A0,P0A,45.54435,-79.464951,Novar,P,35,Rural
P0A1A0,P0A,45.413931,-79.672777,Ahmic Harbour,P,35,Rural
P0A1B0,P0A,45.768837,-78.74486,Algonquin Park,P,35,Rural
P0A1C0,P0A,45.649703,-79.511034,Burks Falls,P,35,Rural
P0A1E0,P0A,45.246186,-78.880625,Dorset,P,35,Rural
P0A1G0,P0A,45.648549,-79.850776,Dunchurch,P,35,Rural
P0A1H0,P0A,45.370982,-78.909412,Dwight,P,35,Rural
P0A1H2,P0A,45.544349,-79.464952,Novar,P,35,Rural
P0A1J0,P0A,45.451589,-79.247381,Emsdale,P,35,Rural
P0A1K0,P0A,45.325879,-79.22544,Huntsville,P,35,Rural
P0A1L0,P0A,45.62347,-79.357584,Katrine,P,35,Rural
P0A1M0,P0A,45.623616,-79.155291,Kearney,P,35,Rural
P0A1N0,P0A,45.278275,-79.073484,Kingsway,P,35,Rural
P0A1P0,P0A,45.66197,-79.63579,Magnetawan,P,35,Rural
P0A1R0,P0A,45.557189,-79.494302,Novar,P,35,Rural
P0A1S0,P0A,45.448188,-78.478118,Oxtongue Lake,P,35,Rural
P0A1T0,P0A,45.278276,-79.073484,Penlake,P,35,Rural
P0A1V0,P0A,45.448189,-78.478118,Russell Landing,P,35,Rural
P0A1W0,P0A,45.505715,-79.286538,Scotia,P,35,Rural
P0A1X0,P0A,45.840229,-79.37688,South River,P,35,Rural
P0A1X3,P0A,45.506105,-78.804316,Huntsville,P,35,Rural
P0A1Y0,P0A,45.451853,-79.66557,Sprucedale,P,35,Rural
P0A1Z0,P0A,45.775119,-79.406983,Sundridge,P,35,Rural
P0A1Z2,P0A,45.544349,-79.464952,Novar,P,35,Rural
P0A2A0,P0A,45.32588,-79.22544,Huntsville,P,35,Rural
P0A2B0,P0A,45.332132,-79.22686,Huntsville,P,35,Rural
P0A2C0,P0A,45.544349,-79.464952,Novar,P,35,Rural
P0A2C7,P0A,45.544349,-79.464952,Sprucedale,P,35,Rural
P0A2P0,P0A,45.544349,-79.464952,Sprucedale,P,35,Rural
P0A3M6,P0A,45.544349,-79.464952,Sprucedale,P,35,Rural
P0A3V0,P0A,45.544349,-79.464952,Sprucedale,P,35,Rural
P0B0A1,P0B,45.216389,-79.348791,Huntsville,P,35,Rural
P0B1A0,P0B,45.1103,-79.158008,Baysville,P,35,Rural
P0B1B0,P0B,45.06583,-79.477978,Beaumaris,P,35,Rural
P0B1B3,P0B,45.158488,-79.37472,Bracebridge,P,35,Rural
P0B1C0,P0B,45.036866,-79.304304,Bracebridge,P,35,Rural
P0B1E0,P0B,45.065831,-79.477978,Milford Bay,P,35,Rural
P0B1G0,P0B,45.156563,-79.650755,Minett,P,35,Rural
P0B1H0,P0B,45.184828,-79.666772,Mortimers Point,P,35,Rural
P0B1J0,P0B,45.103584,-79.628693,Port Carling,P,35,Rural
P0B1K0,P0B,45.184829,-79.666772,Port Sandfield,P,35,Rural
P0B1L0,P0B,45.225539,-79.286872,Port Sydney,P,35,Rural
P0B1M0,P0B,45.253036,-79.636933,Utterson,P,35,Rural
P0B1N0,P0B,45.049218,-79.114276,Van Kloughnet,P,35,Rural
P0B1P0,P0B,45.000875,-79.529293,Windermere,P,35,Rural
P0B1R0,P0B,45.059535,-79.318649,Bracebridge,P,35,Rural
P0B1Z0,P0B,45.16001,-79.373714,Bracebridge,P,35,Rural
P0C0A1,P0C,45.1119922,-79.860152,Mactier,P,35,Rural
P0C1A0,P0C,44.846198,-79.79539,Bala,P,35,Rural
P0C1A4,P0C,45.111992,-79.860152,Mactier,P,35,Rural
P0C1B0,P0C,45.108876,-79.571745,Bala Park,P,35,Rural
P0C1C0,P0C,45.116722,-79.730919,Foots Bay,P,35,Rural
P0C1E0,P0C,45.068124,-80.024441,Glen Orchard,P,35,Rural
P0C1G0,P0C,44.818413,-79.22781,Gravenhurst,P,35,Rural
P0C1H0,P0C,45.159629,-79.938127,Mactier,P,35,Rural
P0C1J0,P0C,45.298404,-79.665724,Rosseau,P,35,Rural
P0C1K0,P0C,45.214059,-79.916409,Rosseau Road,P,35,Rural
P0C1L0,P0C,45.060672,-79.464805,Tomelin Bluffs,P,35,Rural
P0C1M0,P0C,44.967506,-79.585407,Torrance,P,35,Rural
P0C1N0,P0C,44.930456,-79.370823,Gravenhurst,P,35,Rural
P0C1P0,P0C,45.11959,-79.573385,Port Carling,P,35,Rural
P0E0N0,P0E,44.860282,-79.47997,Hydro Glen,P,35,Rural
P0E0T0,P0E,44.860282,-79.47997,Hydro Glen,P,35,Rural
P0E1A0,P0E,44.893506,-79.741039,Cedar Nook,P,35,Rural
P0E1B0,P0E,45.1473,-79.770672,Crooked Bay,P,35,Rural
P0E1C0,P0E,45.024652,-79.867445,Go Home,P,35,Rural
P0E1E0,P0E,45.431795,-80.312038,Honey Harbour,P,35,Rural
P0E1E1,P0E,44.860282,-79.47997,Hydro Glen,P,35,Rural
P0E1G0,P0E,44.830216,-79.377395,Kilworthy,P,35,Rural
P0E1H0,P0E,44.930457,-79.370823,Klueys Bay,P,35,Rural
P0E1J0,P0E,44.972465,-79.43672,Morrison Landing,P,35,Rural
P0E1K0,P0E,44.972466,-79.43672,Muldrew Lake,P,35,Rural
P0E1L0,P0E,44.704379,-79.373868,Port Stanton,P,35,Rural
P0E1M0,P0E,45.034451,-80.216504,Potters Landing,P,35,Rural
P0E1N0,P0E,44.775521,-79.427435,Gravenhurst,P,35,Rural
P0E1P0,P0E,44.893507,-79.741039,South Bay,P,35,Rural
P0E1R0,P0E,45.024653,-79.867445,Wood Landing,P,35,Rural
P0E1T0,P0E,44.860282,-79.47997,Hydro Glen,P,35,Rural
P0G1A0,P0G,45.90333,-80.57618,Britt,P,35,Rural
P0G1B0,P0G,45.764886,-80.554236,Byng Inlet,P,35,Rural
P0G1C0,P0G,45.505805,-79.919135,Mckellar,P,35,Rural
P0G1E0,P0G,45.034452,-80.216504,Moon River,P,35,Rural
P0G1G0,P0G,46.232402,-79.371027,Nobel,P,35,Rural
P0G1H0,P0G,45.350559,-79.779717,Orrville,P,35,Rural
P0G1J0,P0G,46.060982,-79.903425,Pickerel,P,35,Rural
P0G1K0,P0G,45.29545,-80.668654,Pointe-Au-Baril-Station,P,35,Rural
P0G1L0,P0G,45.60625,-80.345643,Sans Souci,P,35,Rural
