age,income,avg_children,youth_ratio,pcode
41.9,32512,1.158974359,17.5,P9N
36.9,38999,1.183673469,20.3,P9A
43.4,33618,1.173410405,15.3,P8T
44,40556,0.975,14.3,P8N
39.5,38960,1.12238806,19.2,P7K
40.9,39859,1.052311436,17.4,P7J
44.1,31232,1.208293153,13.4,P7G
42.6,30135,1.161262051,15.4,P7E
42.7,29907,1.226666667,14.3,P7C
45.2,33043,1.157367668,12.8,P7B
43,29403,1.147849462,14.9,P7A
45.9,29968,1.176,13.5,P6C
44.5,31199,1.090026954,14.7,P6B
44.2,30643,1.128266033,15.6,P6A
44.6,32832,1.102564103,14.1,P5N
52.7,23770,1.140625,10.4,P5E
38.8,38758,1.05015674,17.8,P5A
36.9,37709,1.13215859,20.1,P4R
41.8,30836,1.146531567,16.1,P4P
41.6,40731,1.075630252,18,P4N
38.8,37796,1.091528724,18.8,P3Y
40.9,37470,1.097804391,17.7,P3P
38.8,37523,1.149712092,18.6,P3N
42.6,43392,1.032653061,15.9,P3L
44.4,36656,1.099853157,13.8,P3G
41.7,24388,1.27027027,13,P3E
41.2,29069,1.193255512,15.2,P3C
44.4,33579,1.199521149,14.4,P3B
44.2,28224,1.165680473,14.7,P3A
45.1,27648,1.178947368,15.6,P2N
47.2,28883,1.11525974,13.2,P2B
49.1,27337,1.186480186,11.4,P2A
46.3,30563,1.120710059,13.6,P1P
46.2,29208,1.115523466,13.6,P1L
38.9,48384,1.074380165,18.9,P1H
43.5,27794,1.164031621,13.4,P1C
42.5,30618,1.238687783,16.6,P1B
 ,,,,
40.4,26647,1.25,19.2,P0Y
41.2,28325,1.172910663,20,P0X
33.1,25632,1.235114504,27.4,P0W
42,30305,1.134146341,17.5,P0V
44.3,32100,1.035225049,14.8,P0T
47.8,27450,1.111517367,13.3,P0S
44.4,24993,1.191268191,16.3,P0R
39.8,35410,1.111111111,17.8,P0P
43.3,33839,1.073657475,15,P0N
39.7,28767,1.17707568,20.1,P0M
45.2,31541,1.047272727,14.2,P0L
43.9,28495,1.134357006,15.8,P0K
45.3,29889,1.061509195,14.6,P0J
49.5,28960,1.02962963,10.4,P0H
47.9,29120,1.066666667,11.1,P0G
49,29047,1.034883721,10.8,P0E
46,30924,1.05982906,12.6,P0C
48.8,25394,1.069060773,11.6,P0B
43.9,32865,1.089873418,16.1,P0A
42.3,35092,1.162601626,16.2,N9Y
39.7,39351,1.102941176,20.8,N9V
39,39725,1.124168514,19.2,N9K
42.9,36568,1.128012048,16.2,N9J
40.1,32787,1.101321586,19.7,N9H
42,33842,1.152205882,16.7,N9G
37.9,20108,1.319311663,16.5,N9E
36.1,19755,1.288297872,18,N9C
42.1,19469,1.296774194,14.1,N9B
42.8,27672,1.329399142,14.5,N9A
40.5,24320,1.323420074,15.2,N8Y
40.5,30507,1.16471399,16.6,N8X
 ,,,,
41.1,25001,1.304477612,18.3,N8V
44.7,32429,1.216071429,13.4,N8T
40.2,30645,1.139506173,17.9,N8S
43.6,37543,1.111709287,17.1,N8R
43.3,37996,1.136986301,15.1,N8P
42.2,33206,1.180152672,17.1,N8N
41.5,27460,1.169491525,17.8,N8M
43.2,25021,1.247191011,17,N8H
48.1,48384,0.9,11.9,N8A
55.4,35797,0.902777778,8.8,N7X
47.1,35072,1.167521368,13,N7W
43.8,25430,1.273901809,13.6,N7V
42.2,33317,1.152146465,16.9,N7T
