index,postal_codes,places
0,K0A,Nepean
1,K0B,Alfred
2,K0C,Finch
3,K0E,South Augusta
4,K0G,Smiths Falls
5,K0H,Verona
6,K0J,Aylen Lake
7,K0K,Stirling
8,K0L,Apsley
9,K0M,Minden
10,K1A,Ottawa
11,K1B,Gloucester
12,K1C,Orleans
13,K1E,ORL�ANS
14,K1G,Ottawa
15,K1H,Ottawa
16,K1J,Ottawa
17,K1K,Ottawa
18,K1L,Vanier
19,K1M,Rockcliffe
20,K1N,Ottawa
21,K1P,Ottawa
22,K1R,Ottawa
23,K1S,Ottawa
24,K1T,Ottawa
25,K1V,Ottawa
26,K1W,Gloucester
27,K1X,Gloucester
28,K1Y,Ottawa
29,K1Z,Ottawa
30,K2A,Ottawa
31,K2B,Ottawa
32,K2C,Ottawa
33,K2E,Nepean
34,K2G,Nepean
35,K2H,Napanee
36,K2J,Nepean
37,K2K,Kanata
38,K2L,Kanata
39,K2M,Kanata
40,K2P,Ottawa
41,K2R,Nepean
42,K2S,Stittsville
43,K2T,Kanata
44,K2V,Kanata
45,K2W,Kanata
46,K4A,Orl�Ans
47,K4B,Navan
48,K4C,Cumberland
49,K4K,Rockland
50,K4M,Manotick
51,K4P,Greely
52,K4R,Russell
53,K6A,Hawkesbury
54,K6H,Cornwall
55,K6J,
56,K6K,Cornwall
57,K6T,Elizabethtown
58,K6V,South Augusta
59,K7A,Smiths Falls
60,K7C,Carleton Place
61,K7G,Gananoque
62,K7H,Perth
63,K7K,Pittsburgh
64,K7L,Kingston
65,K7M,Kingston
66,K7N,Amherstview
67,K7P,Kingston
68,K7R,Napanee
69,K7S,Arnprior
70,K7V,Renfrew
71,K8A,Pembroke
72,K8B,Pembroke
73,K8H,Petawawa
74,K8N,Belleville
75,K8P,Belleville
76,K8R,Belleville
77,K8V,Trenton
78,K9A,Cobourg
79,K9H,Peterborough
80,K9J,Peterborough
81,K9K,Peterborough
82,K9L,Peterborough
83,K9V,Lindsay
84,K0H,Loughborough
85,K0M,Caesarea
86,K1R,Ottawa
87,K1S,Ottawa
88,K1V,Gloucester
89,K2H,Nepean
90,K1K,Ottawa
91,K1V,Gloucester
92,K7A,Montague
93,K9V,Lindsay
94,K8A,Pembroke
95,K4B,Navan
96,K4C,Cumberland
97,K7H,Perth
98,L0A,Bethany
99,L0B,Ashburn
100,L0C,Goodwood
101,L0E,Udora
102,L0G,Bradford West Gwillimbury
103,L0H,Brougham
104,L0J,Black Creek Village
105,L0K,Manilla
106,L0L,Springwater
107,L0M,Stayner
108,L0N,Alton
109,L0P,Milton
110,L0R,Alberton
111,L0S,Allanburg
112,L1A,Port Hope
113,L1B,Newcastle
114,L1C,Bowmanville
115,L1E,Courtice
116,L1G,Oshawa
117,L1H,Oshawa
118,L1J,Oshawa
119,L1K,Oshawa
120,L1L,Oshawa
121,L1M,Whitby
122,L1N,Whitby
123,L1P,Whitby
124,L1R,Whitby
125,L1S,Ajax
126,L1T,Ajax
127,L1V,Pickering
128,L1W,Pickering
129,L1X,Pickering
130,L1Y,Pickering
131,L1Z,Ajax
132,L2A,Fort Erie
133,L2E,Niagara Falls
134,L2G,Niagara Falls
135,L2H,Niagara Falls
136,L2J,Niagara Falls
137,L2M,St Catharines
138,L2N,Saint Catharines
139,L2P,St Catharines
140,L2R,St Catharines
141,L2S,Saint Catharines
142,L2T,St Catharines
143,L2V,Thorold
144,L2W,Saint Catharines
145,L3B,Welland
146,L3C,Welland
147,L3K,
148,L3M,Grimsby
149,L3P,Markham
150,L3R,Markham
151,L3S,Markham
152,L3T,Thornhill
153,L3V,Atherley
154,L3X,Newmarket
155,L3Y,Newmarket
156,L3Z,Bradford
157,L4A,Stouffville
158,L4B,Richmond Hill
159,L4C,Richmond Hill
160,L4E,Richmond Hill
161,L4G,Aurora
162,L4H,Woodbridge
163,L4J,Thornhill
164,L4K,Concord
165,L4L,Woodbridge
166,L4M,Barrie
167,L4N,Barrie
168,L4P,Keswick
169,L4R,Midland
170,L4S,Richmond Hill
171,L4T,Mississauga
172,L4V,Mississauga
173,L4W,Mississauga
174,L4X,Mississauga
175,L4Y,Mississauga
176,L4Z,Mississauga
177,L5A,Mississauga
178,L5B,Mississauga
179,L5C,Mississauga
180,L5E,Mississauga
181,L5G,Mississauga
182,L5H,Mississauga
183,L5J,Mississauga
184,L5K,Mississauga
185,L5L,Mississauga
186,L5M,Mississauga
187,L5N,Mississauga
188,L5P,Mississauga
189,L5R,Mississauga
190,L5S,Mississauga
191,L5T,Mississauga
192,L5V,Mississauga
193,L5W,Mississauga
194,L6A,Maple
195,L6B,Markham
196,L6C,Markham
197,L6E,Markham
198,L6G,Markham
199,L6H,Oakville
200,L6J,Oakville
201,L6K,Oakville
202,L6L,Oakville
203,L6M,Oakville
204,L6P,Brampton
205,L6R,Brampton
206,L6S,Brampton
207,L6T,Brampton
208,L6V,Brampton
209,L6W,Brampton
210,L6X,Brampton
211,L6Y,Brampton
212,L6Z,Brampton
213,L7A,Brampton
214,L7B,King
215,L7C,Caledon
216,L7E,Bolton
217,L7G,Georgetown
218,L7J,Acton
219,L7K,Caledon
220,L7L,Burlington
221,L7M,Burlington
222,L7N,Burlington
223,L7P,Burlington
224,L7R,Burlington
225,L7S,Burlington
226,L7T,Burlington
227,L7V,Burlington
228,L8E,Stoney Creek
229,L8G,Stoney Creek
230,L8H,Hamilton
231,L8J,Stoney Creek
232,L8K,Hamilton
233,L8L,Hamilton
234,L8M,Hamilton
235,L8N,Hamilton
236,L8P,Hamilton
237,L8R,Hamilton
238,L8S,Hamilton
239,L8T,Hamilton
240,L8V,Hamilton
241,L8W,Hamilton
242,L9A,Hamilton
243,L9B,Hamilton
244,L9C,Hamilton
245,L9G,Ancaster
246,L9H,Dundas
247,L9J,Dundas
248,L9K,Ancaster
249,L9L,Port Perry
250,L9M,Penetanguishene
251,L9N,Holland Landing
252,L9P,Uxbridge
253,L9R,Alliston
254,L9S,Innisfil
255,L9T,Milton
256,L9V,Mono
257,L9W,Orangeville
258,L9X,Orangeville
259,L9Y,Clearview
260,L9Z,Wasaga Beach
261,L0M,Nottawasaga
262,L0S,Street
263,L1M,Whitby
264,L1N,Whitby
265,L1S,Ajax
266,L2G,Niagara Falls
267,L3R,Markham
268,L3T,Thornhill
269,L3Y,Newmarket
270,L4C,Thornhill
271,L4G,Aurora
272,L4T,Mississauga
273,L4X,Mississauga
274,L4Z,Mississauga
275,L5A,Mississauga
276,L5C,Mississauga
277,L5G,Mississauga
278,L5J,Mississauga
279,L5K,Mississauga
280,L5L,Mississauga
281,L5M,Mississauga
282,L5N,Mississauga
283,L5R,Mississauga
284,L6A,Maple
285,L6J,Oakville
286,L6M,Oakville
287,L6X,Brampton
288,L6Y,Brampton
289,L6Z,Brampton
290,L7R,Burlington
291,L8E,Stoney Creek
292,L9N,Holland Landing
293,L0M,Angus
