postal_code,place
K0A,Nepean
K0B,Alfred
K0C,Finch
K0E,South Augusta
K0G,Smiths Falls
K0H,Verona
K0J,Aylen Lake
K0K,Stirling
K0L,Apsley
K0M,Minden
K1A,Ottawa
K1B,Gloucester
K1C,Orleans
K1E,ORL�ANS
K1G,Ottawa
K1H,Ottawa
K1J,Ottawa
K1K,Ottawa
K1L,Vanier
K1M,Rockcliffe
K1N,Ottawa
K1P,Ottawa
K1R,Ottawa
K1S,Ottawa
K1T,Ottawa
K1V,Ottawa
K1W,Gloucester
K1X,Gloucester
K1Y,Ottawa
K1Z,Ottawa
K2A,Ottawa
K2B,Ottawa
K2C,Ottawa
K2E,Nepean
K2G,Nepean
K2H,Napanee
K2J,Nepean
K2K,Kanata
K2L,Kanata
K2M,Kanata
K2P,Ottawa
K2R,Nepean
K2S,Stittsville
K2T,Kanata
K2V,Kanata
K2W,Kanata
K4A,Orl�Ans
K4B,Navan
K4C,Cumberland
K4K,Rockland
K4M,Manotick
K4P,Greely
K4R,Russell
K6A,Hawkesbury
K6H,Cornwall
K6J,
K6K,Cornwall
K6T,Elizabethtown
K6V,South Augusta
K7A,Smiths Falls
K7C,Carleton Place
K7G,Gananoque
K7H,Perth
K7K,Pittsburgh
K7L,Kingston
K7M,Kingston
K7N,Amherstview
K7P,Kingston
K7R,Napanee
K7S,Arnprior
K7V,Renfrew
K8A,Pembroke
K8B,Pembroke
K8H,Petawawa
K8N,Belleville
K8P,Belleville
K8R,Belleville
K8V,Trenton
K9A,Cobourg
K9H,Peterborough
K9J,Peterborough
K9K,Peterborough
K9L,Peterborough
K9V,Lindsay
L0A,Bethany
L0B,Ashburn
L0C,Goodwood
L0E,Udora
L0G,Bradford West Gwillimbury
L0H,Brougham
L0J,Black Creek Village
L0K,Manilla
L0L,Springwater
L0M,Stayner
L0N,Alton
L0P,Milton
L0R,Alberton
L0S,Allanburg
L1A,Port Hope
L1B,Newcastle
L1C,Bowmanville
L1E,Courtice
L1G,Oshawa
L1H,Oshawa
L1J,Oshawa
L1K,Oshawa
L1L,Oshawa
L1M,Whitby
L1N,Whitby
L1P,Whitby
L1R,Whitby
L1S,Ajax
L1T,Ajax
L1V,Pickering
L1W,Pickering
L1X,Pickering
L1Y,Pickering
L1Z,Ajax
L2A,Fort Erie
L2E,Niagara Falls
L2G,Niagara Falls
L2H,Niagara Falls
L2J,Niagara Falls
L2M,St Catharines
L2N,Saint Catharines
L2P,St Catharines
L2R,St Catharines
L2S,Saint Catharines
L2T,St Catharines
L2V,Thorold
L2W,Saint Catharines
L3B,Welland
L3C,Welland
L3K,
L3M,Grimsby
L3P,Markham
L3R,Markham
L3S,Markham
L3T,Thornhill
L3V,Atherley
L3X,Newmarket
L3Y,Newmarket
L3Z,Bradford
L4A,Stouffville
L4B,Richmond Hill
L4C,Richmond Hill
L4E,Richmond Hill
L4G,Aurora
L4H,Woodbridge
L4J,Thornhill
L4K,Concord
L4L,Woodbridge
L4M,Barrie
L4N,Barrie
L4P,Keswick
L4R,Midland
L4S,Richmond Hill
L4T,Mississauga
L4V,Mississauga
L4W,Mississauga
L4X,Mississauga
L4Y,Mississauga
L4Z,Mississauga
L5A,Mississauga
L5B,Mississauga
L5C,Mississauga
L5E,Mississauga
L5G,Mississauga
L5H,Mississauga
L5J,Mississauga
L5K,Mississauga
L5L,Mississauga
L5M,Mississauga
L5N,Mississauga
L5P,Mississauga
L5R,Mississauga
L5S,Mississauga
L5T,Mississauga
L5V,Mississauga
L5W,Mississauga
L6A,Maple
L6B,Markham
L6C,Markham
L6E,Markham
L6G,Markham
L6H,Oakville
L6J,Oakville
L6K,Oakville
L6L,Oakville
L6M,Oakville
L6P,Brampton
L6R,Brampton
